nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification,wsClass
Epipelagic,epipelagic,Water Depth,Depth,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Mesopelagic,mesopelagic,Water Depth,Depth,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Bathypelagic,bathypelagic,Water Depth,Depth,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Abyssopelagic,abyssopelagic,Water Depth,Depth,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Hadopelagic,hadopelagic,Water Depth,Depth,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Basins Large Basins Of Seas And Oceans,Large_basins_of_seas_and_oceans,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Basins Major Ocean Basins,Major_ocean_basins,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Basins Small Basins Of Seas And Oceans,Small_basins_of_seas_and_oceans,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Bridges,bridges,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,FALSE,This feature is important becauseâ,NA
Canyons Blind,Canyons_blind,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Canyons Shelf Incising,canyons_shelf_incising,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,FALSE,This feature is important becauseâ,NA
Escarpments,Escarpments,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Guyots,Guyots,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Plateaus,Plateaus,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Ridges,Ridges,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Rift Valleys,Rift_valleys,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Spreading Ridges,Spreading_ridges,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Trenches,Trenches,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Troughs,Troughs,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Knolls,knolls,Knolls,Knolls,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Seamounts,seamounts,Seamounts,Seamounts,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Antipatharia,antipatharia_coral,Corals,Corals,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Cold Corals,cold_coral,Corals,Corals,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Octocoral,octocoral,Corals,Corals,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Environmental Region 1,enviro_region_1,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Environmental Region 2,enviro_region_2,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Environmental Region 3,enviro_region_3,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important becauseâ,NA
Cost None,Cost_None,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important becauseâ,NA
Cost Random,Cost_Random,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important becauseâ,NA
Cost Distance,Cost_Distance,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important becauseâ,NA
Cost Fishing Hrs,Cost_FishingHrs,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important becauseâ,NA
