NameCommon,NameVariable,Category,CategoryID,Type,TargetInitial,TargetMin,TargetMax,IncludeApp,IncludeJust,Justification,WS_Class
Vessel Accessibility,Cost_IceA,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Krill,Cost_Krill,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Toothfish,Cost_Toothfish,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Krill and Toothfish,Cost_Total,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
None,Cost_None,Cost,Cost,Cost,NA,NA,NA,TRUE,TRUE,This cost layer is important because,
Abyssal Plain,Abyssal_Plain,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Bank,Bank,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Coastal Terrane,Coastal_Terrane,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Cross Shelf Valley,Cross_Shelf_Valley,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Lower Slope,Lower_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Plateau Slope,Plateau_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Rugose Ocean Floor,Rugose_Ocean_Floor,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Seamount Ridge,Seamount_Ridge,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Shelf,Shelf,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Shelf Deep,Shelf_Deep,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Upper Slope,Upper_Slope,Geomorphic Features,Geomorph,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Deep Shelf,AntarcticDeepShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Deep Slope,AntarcticDeepSlope,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Inner Shelf,AntarcticInnerShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Outer Shelf,AntarcticOuterShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Subantarctic Deep Shelf,SubantarcticDeepShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Subantarctic Island Shelf,SubantarcticIslandShelf,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Transition Area,TransitionArea,Echinoid Regionalisation,Echinoid,Regionalisation,30,0,100,FALSE,FALSE,NA,representative
Antarctic Lanternfish,ELAN_summer,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Assessment of important habitats of a key prey species. Observation & habitat suitability model.,important
Antarctic Silverfish,PLAN_summer_adult,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Assessment of important habitats of a key prey species. Observation & habitat suitability model.,important
Demersal Fish,Demersalfish,Fish,Fish,Feature,30,0,100,TRUE,TRUE,Important habitats for demersal fish (excluding toothfish). Observation & habitat suitability model.,important
